,Date,City,County,State,latitude,longitude,o3_median,pressure_median,pm25_median,humidity_median,temperature_median,dew_median,no2_median,wind-speed_median,co_median,so2_median,pm10_median,wind-gust_median
0,2019-01-01,albuquerque,bernalillo,NM,35.10720930232556,-106.61720930232552,20.8,1018.3,25.0,75.9,-5.3,,4.7,1.6,1.5,,18.0,3.8
1,2019-01-01,atlanta,fulton,GA,33.760108695652185,-84.40282608695658,8.0,1018.5,31.0,86.7,14.3,,6.5,0.3,2.5,0.2,14.0,1.7
2,2019-01-01,austin,travis,TX,30.28333333333335,-97.75064102564096,11.2,1021.2,38.0,85.7,0.0,,,2.8,,,,6.8
3,2019-01-01,baltimore,baltimo,MD,39.30583333333331,-76.6104166666667,19.2,1014.7,13.0,65.2,0.0,,5.6,3.4,,,6.0,8.5
4,2019-01-01,boise,ada,ID,43.60454545454543,-116.20242424242424,17.4,1034.8,13.0,61.7,-4.1,,,0.7,4.8,0.7,5.0,2.2
5,2019-01-01,boston,suffolk,MA,42.35128205128203,-71.06205128205124,22.4,1005.6,21.0,0.0,0.0,,3.8,0.0,2.0,1.5,,15.7
6,2019-01-01,brooklyn,kings,NY,40.65326923076925,-73.95653846153847,20.8,1009.2,38.0,67.9,9.5,9.2,,5.1,,,,12.2
7,2019-01-01,charlotte,mecklenburg,NC,35.19635135135138,-80.82810810810808,18.4,1016.9,21.0,79.8,18.3,13.0,,1.2,0.6,,,4.6
8,2019-01-01,chicago,cook,IL,41.85885057471261,-87.67643678160923,17.6,1024.0,27.0,90.2,-2.0,1.0,6.1,3.6,2.6,,13.0,5.0
9,2019-01-01,columbia,richland,SC,34.011818181818185,-81.01333333333336,17.6,1019.6,34.0,91.6,20.0,19.0,,2.5,,,,5.3
10,2019-01-01,columbus,franklin,OH,39.98804347826086,-82.97978260869564,,1020.6,22.0,86.8,4.4,,2.8,2.5,,,,5.5
11,2019-01-01,dallas,dallas,TX,32.79677966101696,-96.783559322034,12.1,1023.8,33.0,0.0,0.0,1.0,,6.7,,,,12.3
12,2019-01-01,denver,denver,CO,39.74446428571429,-104.91196428571422,7.4,1028.2,42.0,65.5,0.0,,6.0,0.0,1.9,1.6,13.0,2.9
13,2019-01-01,detroit,wayne,MI,42.37173913043482,-83.10043478260866,10.4,1022.6,22.0,92.0,0.0,1.0,,0.0,,,6.0,4.7
14,2019-01-01,el paso,el paso,TX,31.83372262773728,-106.42459854014618,17.6,1014.0,50.0,44.2,0.0,,4.7,0.0,,,19.0,9.1
15,2019-01-01,fort worth,tarrant,TX,32.75272727272726,-97.33181818181818,12.1,1025.6,27.0,0.0,0.0,1.0,,3.8,,,,10.8
16,2019-01-01,fresno,fresno,CA,36.75683333333335,-119.78333333333327,3.2,1023.0,115.0,82.6,0.0,2.3,17.6,0.6,6.7,,44.0,1.9
17,2019-01-01,hartford,hartford,CT,41.76194444444444,-72.68055555555556,9.4,1006.7,21.0,60.7,0.0,6.0,2.8,3.4,2.4,,8.0,7.0
18,2019-01-01,honolulu,honolulu,HI,21.304651162790684,-157.84348837209308,27.2,1014.6,21.0,70.8,21.1,,,0.9,3.4,,17.0,5.6
19,2019-01-01,houston,harris,TX,29.76687830687841,-95.39687830687816,15.2,0.0,40.0,0.0,0.0,8.0,,2.7,,,,4.6
20,2019-01-01,indianapolis,marion,IN,39.78666666666667,-86.14033333333334,13.6,1021.6,19.0,0.0,0.0,1.0,5.6,1.5,1.8,,6.0,3.6
21,2019-01-01,jackson,hinds,MS,32.318214285714305,-90.1985714285714,8.0,1019.9,25.0,87.0,14.0,10.0,1.7,1.8,0.3,,,3.6
22,2019-01-01,jacksonville,duval,FL,30.31615384615384,-81.64423076923079,6.5,1017.0,53.0,85.3,19.2,16.0,4.6,0.8,6.6,0.6,18.0,1.8
23,2019-01-01,las vegas,clark,NV,36.1355844155844,-115.19103896103896,13.0,1023.6,14.0,29.5,1.5,,2.1,6.7,0.1,,9.0,12.0
24,2019-01-01,little rock,pulaski,AR,34.73000000000001,-92.35416666666664,10.4,1024.8,25.0,88.0,5.8,3.0,,1.2,,,,4.2
25,2019-01-01,los angeles,los angeles,CA,34.03708333333333,-118.2884375,6.4,1019.2,44.0,0.0,0.0,,22.3,0.0,6.9,1.5,32.0,3.0
26,2019-01-01,madison,dane,WI,43.07088235294117,-89.38882352941181,,1025.8,14.0,84.5,-18.6,,,3.2,,,3.0,1.2
27,2019-01-01,manhattan,riley,KS,39.21250000000001,-96.6125,17.6,1009.3,40.0,65.0,9.1,9.2,7.5,2.2,2.2,,,7.8
28,2019-01-01,memphis,shelby,TN,35.11030769230766,-89.97984615384615,15.2,1022.3,25.0,81.0,7.1,5.0,,3.0,,,,3.8
29,2019-01-01,miami,miami-dade,FL,25.76768421052632,-80.26421052631572,13.0,1020.8,21.0,78.3,24.4,,0.5,1.2,1.2,,,6.8
